movement_id,scat_num,location,CD_MELWAY,latitude,longitude
2000_1,2000,BURWOOD_HWY E of WARRIGAL_RD,060 H06,-37.85193,145.09463
2000_2,2000,TOORAK_RD W of WARRIGAL_RD,060 H06,-37.85187,145.09407
2000_3,2000,WARRIGAL_RD S of BURWOOD_HWY,060 H06,-37.85221,145.09425
2000_4,2000,WARRIGAL_RD N of TOORAK_RD,060 H06,-37.8516827,145.0943457
2820_1,2820,PRINCESS_ST S of CHANDLER_HWY,045 C02,-37.7948,145.03015
2820_2,2820,EARL_ST SE of PRINCESS_ST,045 C02,-37.79477,145.03077
3662_1,3662,PRINCESS_ST N of HIGH_ST,045 C06,-37.80876,145.02757
3662_2,3662,HIGH_ST NE of PRINCESS_ST,045 C06,-37.80887,145.02793
3662_3,3662,HIGH_ST SW of DENMARK_ST,045 C06,-37.80926,145.02729
3662_4,3662,STUDLEY PARK_RD W of PRINCESS_ST,045 C06,-37.80892,145.02704
3002_1,3002,DENMARK_ST N of BARKERS_RD,045 B08,-37.81489,145.02663
3002_2,3002,BARKERS_RD E of DENMARK_ST,045 B08,-37.81521,145.02706
3002_3,3002,POWER_ST S of BARKERS_RD,045 B08,-37.81545,145.02652
3002_4,3002,BARKERS_RD W of DENMARK_ST,045 B08,-37.8151,145.02608
4263_1,4263,POWER_ST N of BURWOOD_RD,045 B10,-37.822846,145.025129
4263_2,4263,BURWOOD_RD E of POWER_ST,045 B10,-37.82313,145.02565
4263_3,4263,POWER_ST S of BURWOOD_RD,045 B10,-37.823299,145.025033
4263_4,4263,BURWOOD_RD W of POWER_ST,045 B10,-37.82295,145.02402
4321_1,4321,HIGH_ST NE OF HARP_ST,045 G04,-37.800776,145.0494611
4321_2,4321,HARP_RD E OF HIGH_ST,045 G04,-37.80086,145.04962
4321_3,4321,HIGH_ST SW OF HARP_ST,045 G04,-37.8010857,145.048755
4321_4,4321,VALERIE_ST W OF HIGH_ST,045 G04,-37.80063,145.04864
4266_1,4266,AUBURN_RD N of BURWOOD_RD,045 F11,0,0
4266_2,4266,BURWOOD_RD E of AUBURN_RD,045 F11,-37.82529,145.04387
4266_3,4266,AUBURN_RD S of BURWOOD_RD,045 F11,-37.82542,145.04346
4266_4,4266,BURWOOD_RD W of AUBURN_RD,045 F11,-37.82518,145.04301
4270_1,4270,GLENFERRIE_RD N of RIVERSDALE_RD,045 D12,-37.82951,145.03304
4270_2,4270,RIVERSDALE_RD E of GLENFERRIE_RD,045 D12,-37.8303,145.03336
4270_3,4270,GLENFERRIE_RD S of RIVERSDALE_RD,045 D12,-37.83095,145.03278
4270_4,4270,RIVERSDALE_RD W of GLENFERRIE_RD,045 D12,-37.83015,145.03208
2825_1,2825,BURKE_RD S of EASTERN_FWY,031 K12,-37.78661,145.06202
4032_1,4032,HARP_RD W of BURKE_RD,045 K04,-37.80225,145.06081
4032_2,4032,BURKE_RD S of HARP_RD,045 K04,-37.80256,145.06117
4032_3,4032,BELMORE_RD E of BURKE_RD,045 K04,-37.80236,145.06167
4032_4,4032,BURKE_RD N of HARP_RD,045 K04,-37.80202,145.06127
3120_1,3120,RATHMINES_RD W of BURKE_RD,045 J10,-37.82284,145.05684
3120_2,3120,CANTERBURY_RD E of BURKE_RD,045 J10,-37.82295,145.05773
3120_3,3120,BURKE_RD S of CANTERBURY_RD,045 J10,-37.82315,145.05724
3120_4,3120,BURKE_RD N of CANTERBURY_RD,045 J10,-37.82264,145.05734
4043_1,4043,BURKE_RD N of TOORAK_RD,059 H05,-37.84683,145.05275
4043_2,4043,TOORAK_RD E of BURKE_RD,059 H05,-37.84726,145.05308
4043_3,4043,BURKE_RD S of TOORAK_RD,059 H05,-37.84741,145.05263
4043_4,4043,TOORAK_RD W OF BURKE_RD,059 H05,-37.84714,145.05205
2827_1,2827,BULLEEN_RD N of THOMPSONS_RD,032 D11,-37.78093,145.07733
2827_2,2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,032 D11,-37.7820873,145.0778256
2827_3,2827,BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,032 D11,-37.78267,145.07729
2827_4,2827,OFFRAMP_EASTERN_FWY W of BULLEEN_RD,032 D11,-37.78127,145.07688
4051_1,4051,DONCASTER_RD E of BULLEEN_RD,046 B02,-37.79419,145.0696
4051_2,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955
4051_3,4051,DONCASTER_RD SW of SEVERN_ST,046 B02,-37.79406,145.06885
3180_1,3180,DONCASTER_RD W of BALWYN_RD,046 E03,-37.79618,145.08328
3180_2,3180,BALWYN_RD S of DONCASTER_RD,046 E03,-37.79635,145.08352
3180_3,3180,DONCASTER_RD E of BALWYN_RD,046 E03,-37.79611,145.08372
4057_1,4057,BALWYN_RD N OF BELMORE_RD,046 E05,-37.80431,145.08197
4057_2,4057,BELMORE_RD E OF BALWYN_RD,046 E05,-37.80508,145.08246
4057_3,4057,BALWYN_RD S OF BELMORE_RD,046 E05,-37.80564,145.08171
4057_4,4057,BELMORE_RD W OF BALWYN_RD,046 E05,-37.80487,145.08092
3127_1,3127,BALWYN_RD N of CANTERBURY_RD,046 D11,-37.82506,145.078
3127_2,3127,CANTERBURY_RD E of BALWYN_RD,046 D11,-37.82535,145.07827
3127_3,3127,CANTERBURY_RD W of BALWYN_RD,046 D11,-37.82527,145.07757
3682_1,3682,WARRIGAL_RD N OF RIVERSDALE_RD,060 H02,-37.83695,145.09699
3682_2,3682,RIVERSDALE_RD E OF WARRIGAL_RD,060 H02,-37.83755,145.09741
3682_3,3682,WARRIGAL_RD S OF RIVERSDALE_RD,060 H02,-37.83799,145.09681
3682_4,3682,RIVERSDALE_RD W OF WARRIGAL_RD,060 H02,-37.83741,145.09626